Year,Geography,GeoCode,Value
2020,Les Îles-de-la-Madeleine,2401023,10
2020,Grosse-Île,2401042,10
2020,Sainte-Thérèse-de-Gaspé,2402010,14
2020,Port-Daniel--Gascons,2402047,16
2020,Grande-Vallée,2403020,12
2020,Sainte-Madeleine-de-la-Rivière-Madeleine,2404005,28
2020,Saint-Maxime-du-Mont-Louis,2404010,19
2020,Shigawake,2405010,22
2020,Hope Town,2405020,18
2020,New Carlisle,2405040,18
2020,Saint-Elzéar,2405050,16
2020,Caplan,2405060,15
2020,Saint-Alphonse,2405065,14
2020,Cascapédia--Saint-Jules,2405077,10
2020,Maria,2406005,10
2020,Nouvelle,2406020,15
2020,Escuminac,2406025,18
2020,Pointe-à-la-Croix,2406030,20
2020,Matapédia,2406045,19
2020,Saint-Alexis-de-Matapédia,2406050,18
2020,Saint-François-d'Assise,2406055,20
2020,Sainte-Florence,2407010,27
2020,Lac-au-Saumon,2407057,13
2020,Saint-Vianney,2407075,29
2020,Val-Brillant,2407080,14
2020,Sayabec,2407085,20
2020,Les Méchins,2408005,25
2020,Grosses-Roches,2408015,29
2020,Sainte-Félicité,2408023,19
2020,Saint-René-de-Matane,2408035,18
2020,Saint-Ulric,2408073,13
2020,Baie-des-Sables,2408080,13
2020,Les Hauteurs,2409015,22
2020,Saint-Gabriel-de-Rimouski,2409025,19
2020,Sainte-Angèle-de-Mérici,2409035,18
2020,Padoue,2409040,17
2020,Sainte-Luce,2409092,11
2020,Esprit-Saint,2410005,26
2020,Saint-Clément,2411005,16
2020,Saint-Jean-de-Dieu,2411010,17
2020,Sainte-Rita,2411015,21
2020,Notre-Dame-des-Neiges,2411045,14
2020,Saint-Mathieu-de-Rioux,2411050,15
2020,Saint-Simon-de-Rimouski,2411055,14
2020,Saint-Cyprien,2412005,12
2020,Saint-Hubert-de-Rivière-du-Loup,2412010,12
2020,Saint-Antonin,2412015,8
2020,Saint-Modeste,2412020,7
2020,Saint-Épiphane,2412030,14
2020,L'Isle-Verte,2412043,16
2020,Cacouna,2412057,9
2020,Notre-Dame-du-Portage,2412080,9
2020,Rivière-Bleue,2413025,22
2020,Saint-Juste-du-Lac,2413040,20
2020,Auclair,2413045,17
2020,Biencourt,2413055,24
2020,Lac-des-Aigles,2413060,19
2020,Saint-Michel-du-Squatec,2413065,20
2020,Saint-Elzéar-de-Témiscouata,2413085,18
2020,Saint-Honoré-de-Témiscouata,2413090,16
2020,Saint-Athanase,2413100,16
2020,Mont-Carmel,2414005,16
2020,Saint-Bruno-de-Kamouraska,2414010,16
2020,Sainte-Hélène-de-Kamouraska,2414025,12
2020,Saint-Alexandre-de-Kamouraska,2414035,10
2020,Saint-André-de-Kamouraska,2414040,11
2020,Kamouraska,2414050,9
2020,Saint-Denis-De La Bouteillerie,2414055,11
2020,Rivière-Ouelle,2414065,9
2020,Saint-Pacôme,2414070,9
2020,Saint-Gabriel-Lalemant,2414075,13
2020,Saint-Onésime-d'Ixworth,2414080,14
2020,Notre-Dame-des-Monts,2415025,12
2020,Saint-Aimé-des-Lacs,2415030,8
2020,Saint-Siméon,2415058,15
2020,Petite-Rivière-Saint-François,2416005,8
2020,L'Isle-aux-Coudres,2416023,14
2020,Les Éboulements,2416048,10
2020,Saint-Omer,2417005,18
2020,Saint-Adalbert,2417015,18
2020,Saint-Marcel,2417020,17
2020,Sainte-Félicité,2417025,26
2020,Sainte-Perpétue,2417030,16
2020,Tourville,2417035,21
2020,Saint-Damase-de-L'Islet,2417040,17
2020,Saint-Aubert,2417055,12
2020,Saint-Roch-des-Aulnaies,2417065,10
2020,Saint-Jean-Port-Joli,2417070,13
2020,L'Islet,2417078,12
2020,Saint-Just-de-Bretenières,2418005,27
2020,Sainte-Lucie-de-Beauregard,2418020,20
2020,Saint-Paul-de-Montminy,2418030,20
2020,Sainte-Euphémie-sur-Rivière-du-Sud,2418035,21
2020,Notre-Dame-du-Rosaire,2418040,26
2020,Cap-Saint-Ignace,2418045,10
2020,Saint-François-de-la-Rivière-du-Sud,2418060,14
2020,Berthier-sur-Mer,2418065,8
2020,Armagh,2419037,19
2020,Saint-Nérée-de-Bellechasse,2419045,13
2020,Saint-Lazare-de-Bellechasse,2419050,11
2020,Sainte-Claire,2419055,9
2020,Saint-Anselme,2419062,9
2020,Saint-Henri,2419068,6
2020,Honfleur,2419070,9
2020,Saint-Gervais,2419075,9
2020,Saint-Raphaël,2419082,12
2020,Saint-Charles-de-Bellechasse,2419097,5
2020,Beaumont,2419105,5
2020,Saint-Michel-de-Bellechasse,2419110,7
2020,Saint-Vallier,2419117,9
2020,Saint-François-de-l'Île-d'Orléans,2420005,9
2020,Sainte-Famille-de-l'Île-d'Orléans,2420010,9
2020,Saint-Jean-de-l'Île-d'Orléans,2420015,9
2020,Saint-Laurent-de-l'Île-d'Orléans,2420020,5
2020,Saint-Pierre-de-l'Île-d'Orléans,2420025,6
2020,Saint-Tite-des-Caps,2421005,16
2020,Saint-Ferréol-les-Neiges,2421010,8
2020,L'Ange-Gardien,2421040,5
2020,Boischatel,2421045,3
2020,Saint-Gabriel-de-Valcartier,2422025,4
2020,Lac-Beauport,2422040,3
2020,Frampton,2426005,12
2020,Vallée-Jonction,2426015,8
2020,Saint-Elzéar,2426022,6
2020,Scott,2426048,7
2020,Saint-Bernard,2426055,7
2020,Saint-Isidore,2426063,8
2020,Saint-Lambert-de-Lauzon,2426070,6
2020,Saint-Victor,2427008,11
2020,Saint-Alfred,2427015,8
2020,Saint-Joseph-des-Érables,2427050,10
2020,Saint-Zacharie,2428005,12
2020,Sainte-Aurélie,2428015,13
2020,Saint-Prosper,2428020,10
2020,Saint-Benjamin,2428025,12
2020,Sainte-Rose-de-Watford,2428030,12
2020,Saint-Louis-de-Gonzague,2428035,15
2020,Sainte-Justine,2428045,11
2020,Lac-Etchemin,2428053,12
2020,Saint-Luc-de-Bellechasse,2428060,22
2020,Saint-Magloire,2428075,20
2020,Saint-Théophile,2429005,15
2020,Saint-Gédéon-de-Beauce,2429013,10
2020,Saint-Évariste-de-Forsyth,2429025,15
2020,Saint-Honoré-de-Shenley,2429038,13
2020,Saint-Côme--Linière,2429057,11
2020,Saint-Philibert,2429065,7
2020,Saint-Benoît-Labre,2429100,9
2020,Saint-Éphrem-de-Beauce,2429112,11
2020,Saint-Simon-les-Mines,2429125,7
2020,Notre-Dame-des-Bois,2430010,19
2020,Piopolis,2430020,18
2020,Frontenac,2430025,10
2020,Milan,2430040,19
2020,Nantes,2430045,13
2020,Sainte-Cécile-de-Whitton,2430050,11
2020,Audet,2430055,16
2020,Saint-Robert-Bellarmin,2430070,10
2020,Saint-Ludger,2430072,14
2020,Lac-Drolet,2430080,13
2020,Saint-Sébastien,2430085,12
2020,Courcelles,2430090,20
2020,Lambton,2430095,13
2020,Saint-Romain,2430100,14
2020,Stornoway,2430105,13
2020,Beaulac-Garthby,2431008,16
2020,Saint-Fortunat,2431030,30
2020,Saint-Julien,2431035,16
2020,Irlande,2431040,11
2020,Saint-Joseph-de-Coleraine,2431045,18
2020,Adstock,2431056,10
2020,Sainte-Clotilde-de-Beauce,2431060,14
2020,Saint-Adrien-d'Irlande,2431095,17
2020,Saint-Jean-de-Brébeuf,2431100,15
2020,Kinnear's Mills,2431105,10
2020,East Broughton,2431122,14
2020,Saint-Pierre-de-Broughton,2431135,13
2020,Saint-Jacques-de-Leeds,2431140,16
2020,Saint-Ferdinand,2432013,13
2020,Sainte-Sophie-d'Halifax,2432023,11
2020,Inverness,2432058,15
2020,Lyster,2432065,14
2020,Laurierville,2432072,14
2020,Villeroy,2432085,19
2020,Saint-Sylvestre,2433007,12
2020,Sainte-Agathe-de-Lotbinière,2433017,17
2020,Saint-Patrice-de-Beaurivage,2433025,7
2020,Saint-Gilles,2433035,10
2020,Dosquet,2433040,12
2020,Saint-Agapit,2433045,8
2020,Saint-Flavien,2433052,11
2020,Saint-Janvier-de-Joly,2433065,10
2020,Val-Alain,2433070,17
2020,Saint-Apollinaire,2433090,6
2020,Saint-Antoine-de-Tilly,2433095,7
2020,Sainte-Croix,2433102,13
2020,Lotbinière,2433115,12
2020,Leclercville,2433123,16
2020,Deschambault-Grondines,2434058,12
2020,Saint-Casimir,2434078,18
2020,Saint-Ubalde,2434090,16
2020,Saint-Alban,2434097,15
2020,Sainte-Christine-d'Auvergne,2434105,12
2020,Saint-Léonard-de-Portneuf,2434115,11
2020,Rivière-à-Pierre,2434135,18
2020,Notre-Dame-de-Montauban,2435005,21
2020,Sainte-Thècle,2435050,23
2020,Trois-Rives,2435055,24
2020,Sainte-Anne-de-la-Pérade,2437205,16
2020,Batiscan,2437210,14
2020,Champlain,2437220,11
2020,Saint-Luc-de-Vincennes,2437225,15
2020,Saint-Stanislas,2437245,15
2020,Saint-Prosper-de-Champlain,2437250,16
2020,Saint-Sylvère,2438005,20
2020,Sainte-Marie-de-Blandford,2438015,16
2020,Lemieux,2438020,26
2020,Manseau,2438028,26
2020,Sainte-Françoise,2438035,15
2020,Fortierville,2438047,18
2020,Saint-Pierre-les-Becquets,2438065,13
2020,Deschaillons-sur-Saint-Laurent,2438070,16
2020,Notre-Dame-de-Ham,2439015,17
2020,Saint-Rémi-de-Tingwick,2439020,14
2020,Tingwick,2439025,13
2020,Chesterville,2439030,13
2020,Sainte-Hélène-de-Chester,2439035,17
2020,Saint-Norbert-d'Arthabaska,2439043,12
2020,Saint-Albert,2439085,10
2020,Sainte-Élizabeth-de-Warwick,2439090,11
2020,Sainte-Clotilde-de-Horton,2439117,14
2020,Saint-Samuel,2439130,13
2020,Saint-Valère,2439135,9
2020,Maddington Falls,2439165,19
2020,Saint-Louis-de-Blandford,2439170,14
2020,Saint-Adrien,2440010,20
2020,Wotton,2440017,16
2020,Saint-Georges-de-Windsor,2440032,11
2020,Saint-Isidore-de-Clifton,2441012,19
2020,Chartierville,2441020,19
2020,La Patrie,2441027,22
2020,Newport,2441037,22
2020,Ascot Corner,2441055,8
2020,Bury,2441070,17
2020,Weedon,2441098,18
2020,Dudswell,2441117,14
2020,Stoke,2442005,6
2020,Saint-François-Xavier-de-Brompton,2442020,8
2020,Saint-Denis-de-Brompton,2442025,6
2020,Racine,2442032,8
2020,Bonsecours,2442040,13
2020,Sainte-Anne-de-la-Rochelle,2442050,12
2020,Maricourt,2442065,14
2020,Ulverton,2442078,13
2020,Val-Joli,2442095,9
2020,Saint-Claude,2442100,11
2020,Saint-Malo,2444003,12
2020,East Hereford,2444010,12
2020,Saint-Herménégilde,2444015,20
2020,Dixville,2444023,9
2020,Barnston-Ouest,2444045,17
2020,Stanstead-Est,2444050,18
2020,Martinville,2444060,12
2020,Compton,2444071,10
2020,Ogden,2445020,14
2020,Hatley,2445043,6
2020,Sainte-Catherine-de-Hatley,2445060,7
2020,Austin,2445085,8
2020,Eastman,2445093,9
2020,Bolton-Est,2445095,12
2020,Saint-Étienne-de-Bolton,2445100,12
2020,Frelighsburg,2446010,10
2020,Saint-Armand,2446017,13
2020,Pike River,2446025,12
2020,Stanbridge Station,2446030,10
2020,Stanbridge East,2446045,12
2020,Bolton-Ouest,2446065,13
2020,East Farnham,2446085,7
2020,Brigham,2446090,9
2020,Saint-Ignace-de-Stanbridge,2446095,7
2020,Notre-Dame-de-Stanbridge,2446100,10
2020,Sainte-Sabine,2446105,9
2020,Saint-Alphonse-de-Granby,2447010,5
2020,Saint-Joachim-de-Shefford,2447040,12
2020,Roxton Pond,2447047,9
2020,Sainte-Cécile-de-Milton,2447055,9
2020,Béthanie,2448005,17
2020,Upton,2448038,10
2020,Saint-Théodore-d'Acton,2448045,11
2020,Saint-Félix-de-Kingsey,2449005,14
2020,Durham-Sud,2449015,15
2020,Lefebvre,2449020,12
2020,L'Avenir,2449025,13
2020,Saint-Lucien,2449030,13
2020,Wickham,2449040,11
2020,Saint-Germain-de-Grantham,2449048,10
2020,Saint-Cyrille-de-Wendover,2449070,9
2020,Saint-Eugène,2449105,13
2020,Saint-Guillaume,2449113,16
2020,Saint-Bonaventure,2449125,13
2020,Sainte-Eulalie,2450005,14
2020,Aston-Jonction,2450013,15
2020,Saint-Wenceslas,2450023,13
2020,Saint-Célestin,2450035,10
2020,Saint-Léonard-d'Aston,2450042,13
2020,Sainte-Monique,2450057,17
2020,Grand-Saint-Esprit,2450065,9
2020,La Visitation-de-Yamaska,2450085,10
2020,Baie-du-Febvre,2450100,14
2020,Pierreville,2450113,22
2020,Saint-François-du-Lac,2450128,16
2020,Maskinongé,2451008,15
2020,Yamachiche,2451020,11
2020,Sainte-Ursule,2451040,20
2020,Saint-Justin,2451045,19
2020,Saint-Édouard-de-Maskinongé,2451050,19
2020,Sainte-Angèle-de-Prémont,2451055,20
2020,Saint-Paulin,2451060,19
2020,Saint-Mathieu-du-Parc,2451070,13
2020,Saint-Élie-de-Caxton,2451075,17
2020,Charette,2451080,16
2020,Saint-Boniface,2451085,9
2020,Lanoraie,2452017,11
2020,Sainte-Élisabeth,2452030,12
2020,Sainte-Geneviève-de-Berthier,2452040,11
2020,Saint-Ignace-de-Loyola,2452045,11
2020,La Visitation-de-l'Île-Dupas,2452050,10
2020,Saint-Cuthbert,2452062,17
2020,Saint-Gabriel-de-Brandon,2452085,17
2020,Mandeville,2452095,21
2020,Saint-David,2453005,16
2020,Saint-Aimé,2453015,8
2020,Saint-Robert,2453020,13
2020,Sainte-Victoire-de-Sorel,2453025,9
2020,Saint-Roch-de-Richelieu,2453040,7
2020,Sainte-Anne-de-Sorel,2453065,7
2020,Yamaska,2453072,13
2020,Saint-Damase,2454017,7
2020,La Présentation,2454035,6
2020,Saint-Dominique,2454060,8
2020,Saint-Valérien-de-Milton,2454065,10
2020,Saint-Liboire,2454072,6
2020,Saint-Simon,2454090,7
2020,Sainte-Hélène-de-Bagot,2454095,9
2020,Saint-Hugues,2454100,9
2020,Saint-Barnabé-Sud,2454105,6
2020,Saint-Jude,2454110,7
2020,Saint-Bernard-de-Michaudville,2454115,13
2020,Saint-Louis,2454120,11
2020,Saint-Marcel-de-Richelieu,2454125,14
2020,Ange-Gardien,2455008,8
2020,Saint-Paul-d'Abbotsford,2455015,11
2020,Sainte-Angèle-de-Monnoir,2455030,7
2020,Rougemont,2455037,9
2020,Saint-Mathias-sur-Richelieu,2455065,7
2020,Venise-en-Québec,2456005,14
2020,Saint-Georges-de-Clarenceville,2456010,12
2020,Noyan,2456015,14
2020,Lacolle,2456023,11
2020,Saint-Valentin,2456030,9
2020,Saint-Paul-de-l'Île-aux-Noix,2456035,12
2020,Henryville,2456042,12
2020,Saint-Sébastien,2456050,9
2020,Saint-Alexandre,2456055,6
2020,Saint-Blaise-sur-Richelieu,2456065,7
2020,Mont-Saint-Grégoire,2456097,6
2020,Sainte-Brigide-d'Iberville,2456105,9
2020,McMasterville,2457025,6
2020,Saint-Jean-Baptiste,2457033,9
2020,Saint-Mathieu-de-Beloeil,2457045,4
2020,Saint-Marc-sur-Richelieu,2457050,5
2020,Saint-Charles-sur-Richelieu,2457057,7
2020,Saint-Denis-sur-Richelieu,2457068,8
2020,Saint-Antoine-sur-Richelieu,2457075,5
2020,Verchères,2459025,7
2020,Calixa-Lavallée,2459030,10
2020,Saint-Paul,2461005,7
2020,Crabtree,2461013,10
2020,Saint-Thomas,2461027,8
2020,Saint-Ambroise-de-Kildare,2461040,10
2020,Notre-Dame-de-Lourdes,2461045,11
2020,Sainte-Mélanie,2461050,10
2020,Saint-Félix-de-Valois,2462007,13
2020,Saint-Jean-de-Matha,2462015,14
2020,Sainte-Béatrix,2462020,14
2020,Saint-Alphonse-Rodriguez,2462025,15
2020,Sainte-Marcelline-de-Kildare,2462030,12
2020,Rawdon,2462037,15
2020,Chertsey,2462047,19
2020,Entrelacs,2462053,17
2020,Notre-Dame-de-la-Merci,2462055,18
2020,Saint-Donat,2462060,14
2020,Saint-Côme,2462065,17
2020,Sainte-Émélie-de-l'Énergie,2462070,19
2020,Saint-Zénon,2462080,21
2020,Saint-Michel-des-Saints,2462085,17
2020,Sainte-Marie-Salomé,2463005,9
2020,Saint-Jacques,2463013,12
2020,Saint-Alexis,2463023,10
2020,Saint-Esprit,2463030,13
2020,Saint-Roch-de-l'Achigan,2463035,11
2020,Saint-Roch-Ouest,2463040,5
2020,Saint-Calixte,2463055,17
2020,Sainte-Julienne,2463060,11
2020,Saint-Liguori,2463065,10
2020,Saint-Mathieu,2467005,8
2020,Saint-Bernard-de-Lacolle,2468005,11
2020,Sainte-Clotilde,2468020,11
2020,Saint-Patrice-de-Sherrington,2468025,10
2020,Napierville,2468030,8
2020,Saint-Cyprien-de-Napierville,2468035,8
2020,Saint-Jacques-le-Mineur,2468040,7
2020,Saint-Édouard,2468045,8
2020,Saint-Michel,2468050,6
2020,Franklin,2469010,14
2020,Saint-Chrysostome,2469017,15
2020,Howick,2469025,12
2020,Ormstown,2469037,14
2020,Hinchinbrooke,2469045,17
2020,Elgin,2469050,16
2020,Sainte-Barbe,2469065,11
2020,Saint-Anicet,2469070,14
2020,Saint-Urbain-Premier,2470005,6
2020,Sainte-Martine,2470012,9
2020,Saint-Étienne-de-Beauharnois,2470030,7
2020,Saint-Stanislas-de-Kostka,2470040,9
2020,Rivière-Beaudette,2471005,9
2020,Saint-Télesphore,2471015,20
2020,Saint-Polycarpe,2471020,10
2020,Saint-Zotique,2471025,7
2020,Les Coteaux,2471033,7
2020,Saint-Clet,2471045,10
2020,Les Cèdres,2471050,6
2020,Terrasse-Vaudreuil,2471075,6
2020,Sainte-Marthe,2471110,11
2020,Sainte-Justine-de-Newton,2471115,18
2020,Très-Saint-Rédempteur,2471125,6
2020,Pointe-Calumet,2472020,9
2020,Saint-Joseph-du-Lac,2472025,7
2020,Oka,2472032,9
2020,Saint-Placide,2472043,14
2020,Sainte-Sophie,2475028,8
2020,Saint-Hippolyte,2475045,8
2020,Saint-André-d'Argenteuil,2476008,13
2020,Mille-Isles,2476030,8
2020,Grenville-sur-la-Rouge,2476052,17
2020,Piedmont,2477030,9
2020,Morin-Heights,2477050,10
2020,Wentworth-Nord,2477060,18
2020,Saint-Adolphe-d'Howard,2477065,15
2020,Val-Morin,2478005,13
2020,Lantier,2478015,17
2020,Sainte-Lucie-des-Laurentides,2478020,15
2020,Ivry-sur-le-Lac,2478042,12
2020,Saint-Faustin--Lac-Carré,2478047,11
2020,Montcalm,2478055,13
2020,Huberdeau,2478065,18
2020,Lac-Supérieur,2478095,13
2020,Val-des-Lacs,2478100,15
2020,La Conception,2478115,12
2020,Labelle,2478120,15
2020,La Minerve,2478130,17
2020,Notre-Dame-du-Laus,2479005,16
2020,Notre-Dame-de-Pontmain,2479010,18
2020,Lac-du-Cerf,2479015,20
2020,Saint-Aimé-du-Lac-des-Îles,2479022,13
2020,Kiamika,2479025,17
2020,Nominingue,2479030,18
2020,La Macaza,2479047,16
2020,L'Ascension,2479050,21
2020,Chute-Saint-Philippe,2479065,19
2020,Lac-des-Écorces,2479078,16
2020,Ferme-Neuve,2479097,20
2020,Lac-Saint-Paul,2479105,22
2020,Mont-Saint-Michel,2479110,17
2020,Sainte-Anne-du-Lac,2479115,28
2020,Fassett,2480005,18
2020,Montebello,2480010,15
2020,Notre-Dame-de-Bonsecours,2480015,11
2020,Notre-Dame-de-la-Paix,2480020,19
2020,Saint-André-Avellin,2480027,15
2020,Papineauville,2480037,15
2020,Plaisance,2480045,14
2020,Mayo,2480065,12
2020,Saint-Sixte,2480070,12
2020,Ripon,2480078,11
2020,Mulgrave-et-Derry,2480085,13
2020,Montpellier,2480090,16
2020,Lac-Simon,2480095,11
2020,Chénéville,2480103,22
2020,Namur,2480110,28
2020,Boileau,2480115,17
2020,Saint-Émile-de-Suffolk,2480125,24
2020,Lac-des-Plages,2480130,21
2020,Duhamel,2480135,15
2020,Val-des-Bois,2480140,16
2020,Bowman,2480145,14
2020,L'Ange-Gardien,2482005,5
2020,Notre-Dame-de-la-Salette,2482010,13
2020,Val-des-Monts,2482015,7
2020,Cantley,2482020,3
2020,Chelsea,2482025,4
2020,Pontiac,2482030,8
2020,La Pêche,2482035,10
2020,Denholm,2483005,12
2020,Kazabazua,2483015,19
2020,Lac-Sainte-Marie,2483020,13
2020,Cayamant,2483040,20
2020,Blue Sea,2483045,16
2020,Bouchette,2483050,20
2020,Sainte-Thérèse-de-la-Gatineau,2483055,12
2020,Messines,2483060,14
2020,Déléage,2483070,17
2020,Egan-Sud,2483075,13
2020,Bois-Franc,2483085,10
2020,Montcerf-Lytton,2483088,18
2020,Grand-Remous,2483095,18
2020,Bristol,2484005,15
2020,Shawville,2484010,19
2020,Clarendon,2484015,17
2020,Bryson,2484025,16
2020,Campbell's Bay,2484030,22
2020,L'Île-du-Grand-Calumet,2484035,18
2020,Litchfield,2484040,15
2020,Thorne,2484045,20
2020,Otter Lake,2484055,28
2020,Mansfield-et-Pontefract,2484065,12
2020,Waltham,2484070,25
2020,L'Isle-aux-Allumettes,2484082,15
2020,Kipawa,2485010,12
2020,Béarn,2485020,16
2020,Duhamel-Ouest,2485030,6
2020,Lorrainville,2485037,12
2020,Saint-Bruno-de-Guigues,2485045,12
2020,Laverlochère-Angliers,2485052,15
2020,Fugèreville,2485055,16
2020,Laforce,2485070,26
2020,Saint-Eugène-de-Guigues,2485085,13
2020,Notre-Dame-du-Nord,2485090,17
2020,Rémigny,2485105,16
2020,Rapide-Danseur,2487010,8
2020,Roquemaure,2487015,20
2020,Gallichan,2487020,11
2020,Palmarolle,2487025,12
2020,Sainte-Germaine-Boulé,2487030,10
2020,Poularies,2487035,11
2020,Taschereau,2487042,17
2020,Authier,2487050,18
2020,Clerval,2487075,17
2020,La Reine,2487080,10
2020,Dupuy,2487085,11
2020,Chazel,2487095,11
2020,Authier-Nord,2487100,13
2020,Normétal,2487115,22
2020,Barraute,2488022,15
2020,La Corne,2488030,6
2020,La Motte,2488045,9
2020,Saint-Mathieu-d'Harricana,2488050,5
2020,Saint-Félix-de-Dalquier,2488060,9
2020,Saint-Dominique-du-Rosaire,2488065,10
2020,Berry,2488070,12
2020,Sainte-Gertrude-Manneville,2488085,8
2020,Preissac,2488090,6
2020,Rivière-Héva,2489010,6
2020,La Bostonnais,2490017,12
2020,Lac-Bouchette,2491005,23
2020,Saint-François-de-Sales,2491015,22
2020,Chambord,2491020,13
2020,Sainte-Hedwidge,2491030,12
2020,Saint-Prime,2491035,10
2020,Péribonka,2492010,13
2020,Albanel,2492030,10
2020,Saint-Thomas-Didyme,2492045,15
2020,Saint-Edmond-les-Plaines,2492050,19
2020,Girardville,2492055,13
2020,Saint-Eugène-d'Argentenay,2492065,15
2020,Saint-Stanislas,2492070,18
2020,Hébertville,2493020,13
2020,Saint-Bruno,2493030,8
2020,Saint-Gédéon,2493035,9
2020,Saint-Nazaire,2493045,11
2020,Labrecque,2493055,9
2020,Lamarche,2493060,18
2020,Saint-Henri-de-Taillon,2493070,11
2020,Sainte-Monique,2493075,13
2020,Saint-Ludger-de-Milot,2493080,15
2020,Petit-Saguenay,2494205,26
2020,L'Anse-Saint-Jean,2494210,14
2020,Rivière-Éternité,2494215,12
2020,Ferland-et-Boilleau,2494220,11
2020,Saint-Félix-d'Otis,2494225,10
2020,Saint-Fulgence,2494235,12
2020,Saint-David-de-Falardeau,2494245,11
2020,Bégin,2494250,16
2020,Saint-Ambroise,2494255,11
2020,Saint-Charles-de-Bourget,2494260,11
2020,Larouche,2494265,8
2020,Sacré-Coeur,2495010,11
2020,Les Bergeronnes,2495018,12
2020,Les Escoumins,2495025,12
2020,Longue-Rive,2495032,24
2020,Portneuf-sur-Mer,2495040,21
2020,Colombier,2495050,21
2020,Franquelin,2496015,12
2020,Blanc-Sablon,2498005,7
2020,Bonne-Espérance,2498010,7
2020,Saint-Augustin,2498012,14
2020,Gros-Mécatina,2498014,18
2020,Côte-Nord-du-Golfe-du-Saint-Laurent,2498015,11
2020,Natashquan,2498025,9
2020,Havre-Saint-Pierre,2498040,5
2020,Longue-Pointe-de-Mingan,2498045,11
2020,Rivière-au-Tonnerre,2498055,15
