Value,Disaggregation combinations using this value,Number of indicators
Adstock,1,1
Albanel,1,1
Ange-Gardien,1,1
Armagh,1,1
Ascot Corner,1,1
Aston-Jonction,1,1
Auclair,1,1
Audet,1,1
Austin,1,1
Authier-Nord,1,1
Authier,1,1
Baie-des-Sables,1,1
Baie-du-Febvre,1,1
Barnston-Ouest,1,1
Barraute,1,1
Batiscan,1,1
Beaulac-Garthby,1,1
Beaumont,1,1
Berry,1,1
Berthier-sur-Mer,1,1
Biencourt,1,1
Blanc-Sablon,1,1
Blue Sea,1,1
Boileau,1,1
Bois-Franc,1,1
Boischatel,1,1
Bolton-Est,1,1
Bolton-Ouest,1,1
Bonne-Espérance,1,1
Bonsecours,1,1
Bouchette,1,1
Bowman,1,1
Brigham,1,1
Bristol,1,1
Bryson,1,1
Bury,1,1
Béarn,1,1
Bégin,1,1
Béthanie,1,1
Cacouna,1,1
Calixa-Lavallée,1,1
Campbell's Bay,1,1
Cantley,1,1
Cap-Saint-Ignace,1,1
Caplan,1,1
Cascapédia--Saint-Jules,1,1
Cayamant,1,1
Chambord,1,1
Champlain,1,1
Charette,1,1
Chartierville,1,1
Chazel,1,1
Chelsea,1,1
Chertsey,1,1
Chesterville,1,1
Chute-Saint-Philippe,1,1
Chénéville,1,1
Clarendon,1,1
Clerval,1,1
Colombier,1,1
Compton,1,1
Courcelles,1,1
Crabtree,1,1
Côte-Nord-du-Golfe-du-Saint-Laurent,1,1
Denholm,1,1
Deschaillons-sur-Saint-Laurent,1,1
Deschambault-Grondines,1,1
Dixville,1,1
Dosquet,1,1
Dudswell,1,1
Duhamel-Ouest,1,1
Duhamel,1,1
Dupuy,1,1
Durham-Sud,1,1
Déléage,1,1
East Broughton,1,1
East Farnham,1,1
East Hereford,1,1
Eastman,1,1
Egan-Sud,1,1
Elgin,1,1
Entrelacs,1,1
Escuminac,1,1
Esprit-Saint,1,1
Fassett,1,1
Ferland-et-Boilleau,1,1
Ferme-Neuve,1,1
Fortierville,1,1
Frampton,1,1
Franklin,1,1
Franquelin,1,1
Frelighsburg,1,1
Frontenac,1,1
Fugèreville,1,1
Gallichan,1,1
Girardville,1,1
Grand-Remous,1,1
Grand-Saint-Esprit,1,1
Grande-Vallée,1,1
Grenville-sur-la-Rouge,1,1
Gros-Mécatina,1,1
Grosse-Île,1,1
Grosses-Roches,1,1
Hatley,1,1
Havre-Saint-Pierre,1,1
Henryville,1,1
Hinchinbrooke,1,1
Honfleur,1,1
Hope Town,1,1
Howick,1,1
Huberdeau,1,1
Hébertville,1,1
Inverness,1,1
Irlande,1,1
Ivry-sur-le-Lac,1,1
Kamouraska,1,1
Kazabazua,1,1
Kiamika,1,1
Kinnear's Mills,1,1
Kipawa,1,1
La Bostonnais,1,1
La Conception,1,1
La Corne,1,1
La Macaza,1,1
La Minerve,1,1
La Motte,1,1
La Patrie,1,1
La Présentation,1,1
La Pêche,1,1
La Reine,1,1
La Visitation-de-l'Île-Dupas,1,1
La Visitation-de-Yamaska,1,1
Labelle,1,1
Labrecque,1,1
Lac-au-Saumon,1,1
Lac-Beauport,1,1
Lac-Bouchette,1,1
Lac-des-Aigles,1,1
Lac-des-Plages,1,1
Lac-des-Écorces,1,1
Lac-Drolet,1,1
Lac-du-Cerf,1,1
Lac-Etchemin,1,1
Lac-Saint-Paul,1,1
Lac-Sainte-Marie,1,1
Lac-Simon,1,1
Lac-Supérieur,1,1
Lacolle,1,1
Laforce,1,1
Lamarche,1,1
Lambton,1,1
L'Ange-Gardien,2,1
Lanoraie,1,1
L'Anse-Saint-Jean,1,1
Lantier,1,1
Larouche,1,1
L'Ascension,1,1
Laurierville,1,1
L'Avenir,1,1
Laverlochère-Angliers,1,1
Leclercville,1,1
Lefebvre,1,1
Lemieux,1,1
Les Bergeronnes,1,1
Les Coteaux,1,1
Les Cèdres,1,1
Les Escoumins,1,1
Les Hauteurs,1,1
Les Méchins,1,1
Les Éboulements,1,1
Les Îles-de-la-Madeleine,1,1
L'Isle-aux-Allumettes,1,1
L'Isle-aux-Coudres,1,1
L'Isle-Verte,1,1
L'Islet,1,1
Litchfield,1,1
Longue-Pointe-de-Mingan,1,1
Longue-Rive,1,1
Lorrainville,1,1
Lotbinière,1,1
Lyster,1,1
L'Île-du-Grand-Calumet,1,1
Maddington Falls,1,1
Mandeville,1,1
Manseau,1,1
Mansfield-et-Pontefract,1,1
Maria,1,1
Maricourt,1,1
Martinville,1,1
Maskinongé,1,1
Matapédia,1,1
Mayo,1,1
McMasterville,1,1
Messines,1,1
Milan,1,1
Mille-Isles,1,1
Mont-Carmel,1,1
Mont-Saint-Grégoire,1,1
Mont-Saint-Michel,1,1
Montcalm,1,1
Montcerf-Lytton,1,1
Montebello,1,1
Montpellier,1,1
Morin-Heights,1,1
Mulgrave-et-Derry,1,1
Namur,1,1
Nantes,1,1
Napierville,1,1
Natashquan,1,1
New Carlisle,1,1
Newport,1,1
Nominingue,1,1
Normétal,1,1
Notre-Dame-de-Bonsecours,1,1
Notre-Dame-de-Ham,1,1
Notre-Dame-de-la-Merci,1,1
Notre-Dame-de-la-Paix,1,1
Notre-Dame-de-la-Salette,1,1
Notre-Dame-de-Lourdes,1,1
Notre-Dame-de-Montauban,1,1
Notre-Dame-de-Pontmain,1,1
Notre-Dame-de-Stanbridge,1,1
Notre-Dame-des-Bois,1,1
Notre-Dame-des-Monts,1,1
Notre-Dame-des-Neiges,1,1
Notre-Dame-du-Laus,1,1
Notre-Dame-du-Nord,1,1
Notre-Dame-du-Portage,1,1
Notre-Dame-du-Rosaire,1,1
Nouvelle,1,1
Noyan,1,1
Ogden,1,1
Oka,1,1
Ormstown,1,1
Otter Lake,1,1
Padoue,1,1
Palmarolle,1,1
Papineauville,1,1
Petit-Saguenay,1,1
Petite-Rivière-Saint-François,1,1
Piedmont,1,1
Pierreville,1,1
Pike River,1,1
Piopolis,1,1
Plaisance,1,1
Pointe-Calumet,1,1
Pointe-à-la-Croix,1,1
Pontiac,1,1
Port-Daniel--Gascons,1,1
Portneuf-sur-Mer,1,1
Poularies,1,1
Preissac,1,1
Péribonka,1,1
Racine,1,1
Rapide-Danseur,1,1
Rawdon,1,1
Ripon,1,1
Rivière-au-Tonnerre,1,1
Rivière-Beaudette,1,1
Rivière-Bleue,1,1
Rivière-Héva,1,1
Rivière-Ouelle,1,1
Rivière-à-Pierre,1,1
Rivière-Éternité,1,1
Roquemaure,1,1
Rougemont,1,1
Roxton Pond,1,1
Rémigny,1,1
Sacré-Coeur,1,1
Saint-Adalbert,1,1
Saint-Adolphe-d'Howard,1,1
Saint-Adrien-d'Irlande,1,1
Saint-Adrien,1,1
Saint-Agapit,1,1
Saint-Aimé-des-Lacs,1,1
Saint-Aimé-du-Lac-des-Îles,1,1
Saint-Aimé,1,1
Saint-Alban,1,1
Saint-Albert,1,1
Saint-Alexandre-de-Kamouraska,1,1
Saint-Alexandre,1,1
Saint-Alexis-de-Matapédia,1,1
Saint-Alexis,1,1
Saint-Alfred,1,1
Saint-Alphonse-de-Granby,1,1
Saint-Alphonse-Rodriguez,1,1
Saint-Alphonse,1,1
Saint-Ambroise-de-Kildare,1,1
Saint-Ambroise,1,1
Saint-André-Avellin,1,1
Saint-André-d'Argenteuil,1,1
Saint-André-de-Kamouraska,1,1
Saint-Anicet,1,1
Saint-Anselme,1,1
Saint-Antoine-de-Tilly,1,1
Saint-Antoine-sur-Richelieu,1,1
Saint-Antonin,1,1
Saint-Apollinaire,1,1
Saint-Armand,1,1
Saint-Athanase,1,1
Saint-Aubert,1,1
Saint-Augustin,1,1
Saint-Barnabé-Sud,1,1
Saint-Benjamin,1,1
Saint-Benoît-Labre,1,1
Saint-Bernard-de-Lacolle,1,1
Saint-Bernard-de-Michaudville,1,1
Saint-Bernard,1,1
Saint-Blaise-sur-Richelieu,1,1
Saint-Bonaventure,1,1
Saint-Boniface,1,1
Saint-Bruno-de-Guigues,1,1
Saint-Bruno-de-Kamouraska,1,1
Saint-Bruno,1,1
Saint-Calixte,1,1
Saint-Casimir,1,1
Saint-Charles-de-Bellechasse,1,1
Saint-Charles-de-Bourget,1,1
Saint-Charles-sur-Richelieu,1,1
Saint-Chrysostome,1,1
Saint-Claude,1,1
Saint-Clet,1,1
Saint-Clément,1,1
Saint-Cuthbert,1,1
Saint-Cyprien-de-Napierville,1,1
Saint-Cyprien,1,1
Saint-Cyrille-de-Wendover,1,1
Saint-Célestin,1,1
Saint-Côme--Linière,1,1
Saint-Côme,1,1
Saint-Damase-de-L'Islet,1,1
Saint-Damase,1,1
Saint-David-de-Falardeau,1,1
Saint-David,1,1
Saint-Denis-de-Brompton,1,1
Saint-Denis-De La Bouteillerie,1,1
Saint-Denis-sur-Richelieu,1,1
Saint-Dominique-du-Rosaire,1,1
Saint-Dominique,1,1
Saint-Donat,1,1
Saint-Edmond-les-Plaines,1,1
Saint-Elzéar-de-Témiscouata,1,1
Saint-Elzéar,2,1
Saint-Esprit,1,1
Saint-Eugène-d'Argentenay,1,1
Saint-Eugène-de-Guigues,1,1
Saint-Eugène,1,1
Saint-Faustin--Lac-Carré,1,1
Saint-Ferdinand,1,1
Saint-Ferréol-les-Neiges,1,1
Saint-Flavien,1,1
Saint-Fortunat,1,1
Saint-François-d'Assise,1,1
Saint-François-de-la-Rivière-du-Sud,1,1
Saint-François-de-l'Île-d'Orléans,1,1
Saint-François-de-Sales,1,1
Saint-François-du-Lac,1,1
Saint-François-Xavier-de-Brompton,1,1
Saint-Fulgence,1,1
Saint-Félix-de-Dalquier,1,1
Saint-Félix-de-Kingsey,1,1
Saint-Félix-de-Valois,1,1
Saint-Félix-d'Otis,1,1
Saint-Gabriel-de-Brandon,1,1
Saint-Gabriel-de-Rimouski,1,1
Saint-Gabriel-de-Valcartier,1,1
Saint-Gabriel-Lalemant,1,1
Saint-Georges-de-Clarenceville,1,1
Saint-Georges-de-Windsor,1,1
Saint-Germain-de-Grantham,1,1
Saint-Gervais,1,1
Saint-Gilles,1,1
Saint-Guillaume,1,1
Saint-Gédéon-de-Beauce,1,1
Saint-Gédéon,1,1
Saint-Henri-de-Taillon,1,1
Saint-Henri,1,1
Saint-Herménégilde,1,1
Saint-Hippolyte,1,1
Saint-Honoré-de-Shenley,1,1
Saint-Honoré-de-Témiscouata,1,1
Saint-Hubert-de-Rivière-du-Loup,1,1
Saint-Hugues,1,1
Saint-Ignace-de-Loyola,1,1
Saint-Ignace-de-Stanbridge,1,1
Saint-Isidore-de-Clifton,1,1
Saint-Isidore,1,1
Saint-Jacques-de-Leeds,1,1
Saint-Jacques-le-Mineur,1,1
Saint-Jacques,1,1
Saint-Janvier-de-Joly,1,1
Saint-Jean-Baptiste,1,1
Saint-Jean-de-Brébeuf,1,1
Saint-Jean-de-Dieu,1,1
Saint-Jean-de-l'Île-d'Orléans,1,1
Saint-Jean-de-Matha,1,1
Saint-Jean-Port-Joli,1,1
Saint-Joachim-de-Shefford,1,1
Saint-Joseph-de-Coleraine,1,1
Saint-Joseph-des-Érables,1,1
Saint-Joseph-du-Lac,1,1
Saint-Jude,1,1
Saint-Julien,1,1
Saint-Just-de-Bretenières,1,1
Saint-Juste-du-Lac,1,1
Saint-Justin,1,1
Saint-Lambert-de-Lauzon,1,1
Saint-Laurent-de-l'Île-d'Orléans,1,1
Saint-Lazare-de-Bellechasse,1,1
Saint-Liboire,1,1
Saint-Liguori,1,1
Saint-Louis-de-Blandford,1,1
Saint-Louis-de-Gonzague,1,1
Saint-Louis,1,1
Saint-Luc-de-Bellechasse,1,1
Saint-Luc-de-Vincennes,1,1
Saint-Lucien,1,1
Saint-Ludger-de-Milot,1,1
Saint-Ludger,1,1
Saint-Léonard-d'Aston,1,1
Saint-Léonard-de-Portneuf,1,1
Saint-Magloire,1,1
Saint-Malo,1,1
Saint-Marc-sur-Richelieu,1,1
Saint-Marcel-de-Richelieu,1,1
Saint-Marcel,1,1
Saint-Mathias-sur-Richelieu,1,1
Saint-Mathieu-de-Beloeil,1,1
Saint-Mathieu-de-Rioux,1,1
Saint-Mathieu-d'Harricana,1,1
Saint-Mathieu-du-Parc,1,1
Saint-Mathieu,1,1
Saint-Maxime-du-Mont-Louis,1,1
Saint-Michel-de-Bellechasse,1,1
Saint-Michel-des-Saints,1,1
Saint-Michel-du-Squatec,1,1
Saint-Michel,1,1
Saint-Modeste,1,1
Saint-Nazaire,1,1
Saint-Norbert-d'Arthabaska,1,1
Saint-Nérée-de-Bellechasse,1,1
Saint-Omer,1,1
Saint-Onésime-d'Ixworth,1,1
Saint-Pacôme,1,1
Saint-Patrice-de-Beaurivage,1,1
Saint-Patrice-de-Sherrington,1,1
Saint-Paul-d'Abbotsford,1,1
Saint-Paul-de-l'Île-aux-Noix,1,1
Saint-Paul-de-Montminy,1,1
Saint-Paul,1,1
Saint-Paulin,1,1
Saint-Philibert,1,1
Saint-Pierre-de-Broughton,1,1
Saint-Pierre-de-l'Île-d'Orléans,1,1
Saint-Pierre-les-Becquets,1,1
Saint-Placide,1,1
Saint-Polycarpe,1,1
Saint-Prime,1,1
Saint-Prosper-de-Champlain,1,1
Saint-Prosper,1,1
Saint-Raphaël,1,1
Saint-René-de-Matane,1,1
Saint-Robert-Bellarmin,1,1
Saint-Robert,1,1
Saint-Roch-de-l'Achigan,1,1
Saint-Roch-de-Richelieu,1,1
Saint-Roch-des-Aulnaies,1,1
Saint-Roch-Ouest,1,1
Saint-Romain,1,1
Saint-Rémi-de-Tingwick,1,1
Saint-Samuel,1,1
Saint-Simon-de-Rimouski,1,1
Saint-Simon-les-Mines,1,1
Saint-Simon,1,1
Saint-Siméon,1,1
Saint-Sixte,1,1
Saint-Stanislas-de-Kostka,1,1
Saint-Stanislas,2,1
Saint-Sylvestre,1,1
Saint-Sylvère,1,1
Saint-Sébastien,2,1
Saint-Thomas-Didyme,1,1
Saint-Thomas,1,1
Saint-Théodore-d'Acton,1,1
Saint-Théophile,1,1
Saint-Tite-des-Caps,1,1
Saint-Télesphore,1,1
Saint-Ubalde,1,1
Saint-Ulric,1,1
Saint-Urbain-Premier,1,1
Saint-Valentin,1,1
Saint-Vallier,1,1
Saint-Valère,1,1
Saint-Valérien-de-Milton,1,1
Saint-Vianney,1,1
Saint-Victor,1,1
Saint-Wenceslas,1,1
Saint-Zacharie,1,1
Saint-Zotique,1,1
Saint-Zénon,1,1
Saint-Édouard-de-Maskinongé,1,1
Saint-Édouard,1,1
Saint-Élie-de-Caxton,1,1
Saint-Émile-de-Suffolk,1,1
Saint-Éphrem-de-Beauce,1,1
Saint-Épiphane,1,1
Saint-Étienne-de-Beauharnois,1,1
Saint-Étienne-de-Bolton,1,1
Saint-Évariste-de-Forsyth,1,1
Sainte-Agathe-de-Lotbinière,1,1
Sainte-Angèle-de-Monnoir,1,1
Sainte-Angèle-de-Mérici,1,1
Sainte-Angèle-de-Prémont,1,1
Sainte-Anne-de-la-Pérade,1,1
Sainte-Anne-de-la-Rochelle,1,1
Sainte-Anne-de-Sorel,1,1
Sainte-Anne-du-Lac,1,1
Sainte-Aurélie,1,1
Sainte-Barbe,1,1
Sainte-Brigide-d'Iberville,1,1
Sainte-Béatrix,1,1
Sainte-Catherine-de-Hatley,1,1
Sainte-Christine-d'Auvergne,1,1
Sainte-Claire,1,1
Sainte-Clotilde-de-Beauce,1,1
Sainte-Clotilde-de-Horton,1,1
Sainte-Clotilde,1,1
Sainte-Croix,1,1
Sainte-Cécile-de-Milton,1,1
Sainte-Cécile-de-Whitton,1,1
Sainte-Eulalie,1,1
Sainte-Euphémie-sur-Rivière-du-Sud,1,1
Sainte-Famille-de-l'Île-d'Orléans,1,1
Sainte-Florence,1,1
Sainte-Françoise,1,1
Sainte-Félicité,2,1
Sainte-Geneviève-de-Berthier,1,1
Sainte-Germaine-Boulé,1,1
Sainte-Gertrude-Manneville,1,1
Sainte-Hedwidge,1,1
Sainte-Hélène-de-Bagot,1,1
Sainte-Hélène-de-Chester,1,1
Sainte-Hélène-de-Kamouraska,1,1
Sainte-Julienne,1,1
Sainte-Justine-de-Newton,1,1
Sainte-Justine,1,1
Sainte-Luce,1,1
Sainte-Lucie-de-Beauregard,1,1
Sainte-Lucie-des-Laurentides,1,1
Sainte-Madeleine-de-la-Rivière-Madeleine,1,1
Sainte-Marcelline-de-Kildare,1,1
Sainte-Marie-de-Blandford,1,1
Sainte-Marie-Salomé,1,1
Sainte-Marthe,1,1
Sainte-Martine,1,1
Sainte-Monique,2,1
Sainte-Mélanie,1,1
Sainte-Perpétue,1,1
Sainte-Rita,1,1
Sainte-Rose-de-Watford,1,1
Sainte-Sabine,1,1
Sainte-Sophie-d'Halifax,1,1
Sainte-Sophie,1,1
Sainte-Thècle,1,1
Sainte-Thérèse-de-Gaspé,1,1
Sainte-Thérèse-de-la-Gatineau,1,1
Sainte-Ursule,1,1
Sainte-Victoire-de-Sorel,1,1
Sainte-Élisabeth,1,1
Sainte-Élizabeth-de-Warwick,1,1
Sainte-Émélie-de-l'Énergie,1,1
Sayabec,1,1
Scott,1,1
Shawville,1,1
Shigawake,1,1
Stanbridge East,1,1
Stanbridge Station,1,1
Stanstead-Est,1,1
Stoke,1,1
Stornoway,1,1
Taschereau,1,1
Terrasse-Vaudreuil,1,1
Thorne,1,1
Tingwick,1,1
Tourville,1,1
Trois-Rives,1,1
Très-Saint-Rédempteur,1,1
Ulverton,1,1
Upton,1,1
Val-Alain,1,1
Val-Brillant,1,1
Val-des-Bois,1,1
Val-des-Lacs,1,1
Val-des-Monts,1,1
Val-Joli,1,1
Val-Morin,1,1
Vallée-Jonction,1,1
Venise-en-Québec,1,1
Verchères,1,1
Villeroy,1,1
Waltham,1,1
Weedon,1,1
Wentworth-Nord,1,1
Wickham,1,1
Wotton,1,1
Yamachiche,1,1
Yamaska,1,1
